review_status,corrected_doi,corrected_url,flags,feedstock_codes,citation,year,doi,url,peer_reviewed,source_ids,reviewer_notes
,,,MISSING_DOI;NOT_PEER_REVIEWED,BAGACO_CITROS,World's Largest Citrus-to-Biogas Plant - Bebedouro Facility,2025,,https://www.ldc.com/br/pt/press-releases/louis-dreyfus-company-inova-com-a-maior-planta-do-mundo-a-produzir-biogas-a-partir-de-efluentes-citricos/,False,252,
,,,MISSING_DOI;NOT_PEER_REVIEWED,CASCAS_CITROS,Avaliação da geração de biogás através da co-digestão anaeróbia de resíduos de casca de laranja e glicerol bruto,,,https://lume.ufrgs.br/handle/10183/265913,False,16,
,,,MISSING_DOI;NOT_PEER_REVIEWED,CASCAS_CITROS,A Biomassa da Laranja e seus Subprodutos,2017,,http://static.sites.sbq.org.br/rvq.sbq.org.br/pdf/TasicNoPrelo.pdf,False,58,
,,,MISSING_DOI;NOT_PEER_REVIEWED,CASCA_CAFE,Nutrient Characterization of Coffee Husk for Composting,2020,,https://journal.fanres.org/IJFANRES/article/download/8/9,False,290,
,,,MISSING_DOI;NOT_PEER_REVIEWED,CASCA_MILHO,Palha Milho e Sorgo para Produção de Biogás e Biometano,2023,,https://pt.linkedin.com/pulse/palha-milho-e-sorgo-para-produ%C3%A7%C3%A3o-de-biog%C3%A1s-biometano-celso-oliveira,False,238,
,,,MISSING_DOI;NOT_PEER_REVIEWED,CASCA_SOJA,Digestibilidade in vitro e degradabilidade in situ da casca de soja,2004,,https://pdfs.semanticscholar.org/4cf5/b661732bd24ed640c217e19e907c6b5b8881.pdf,False,88,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_AVES,Biogas production from poultry manure: experimental and practical aspects,2015,,https://fada.birzeit.edu/bitstream/20.500.11889/1669/1/thesis_28072015_111212.pdf,False,33,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_BOVINO,Dairy Manure Nutrient Content and Forms,2009,,https://manuremanagement.ucdavis.edu/files/134369.pdf,False,35,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,Manejo de dejetos em suinocultura,2008,,https://acrismat.com.br/storage/docs/25112009065720Jorge%20de%20Lucas.pdf,False,38,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,Manual de Manejo e Utilização dos Dejetos de Suínos,2000,,https://www.infoteca.cnptia.embrapa.br/bitstream/doc/434003/1/publicacaodoc27.pdf,False,54,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,Metodologias estimativa biogás - efluentes suínos e bovinos,2018,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1115353/1/final9089.pdf,False,201,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,Atlas do Biogás Brasil - Potencial suinocultura,2020,,https://cibiogas.org/publicacoes,False,202,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,CH4 Emissions from Livestock and Manure Management,2006,,https://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html,False,213,
,,,MISSING_DOI;NOT_PEER_REVIEWED,DEJETOS_SUINO,Manual para Criadores de Suínos e Panorama do Biogás (Caso Entre Rios do Oeste),2022,,https://cibiogas.org/blog/manualpara-criadores-de-suinos-suinocultura-e-biogas-beneficios-e-desafios/,False,256,
,,,MISSING_DOI;NOT_PEER_REVIEWED,GORDURA,Considerações técnicas sobre o uso de carcaças de animais mortos não abatidos em processos de digestão anaeróbia,2020,,https://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/1130673,False,78,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_PRIMARIO,Improving Bioenergy Recovery from Anaerobic Digestion of Sewage Sludge,2024,,https://onlinelibrary.wiley.com/doi/10.1002/9783527825394.ch11,False,258,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_PRIMARIO,Tratamento anaeróbio resíduos orgânicos baixa concentração sólidos,2004,,https://www.scielo.br/j/esa/a/nfjwG3JLpPKnLDf6RY3cLZz/,False,266,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_PRIMARIO,Viabilidade econômica tratamento esgoto + biogás,2025,,https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/download/5960/3815/13951,False,267,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_PRIMARIO,Biometano em São Paulo: Potencial e Medidas,2025,,https://abiogas.org.br/wp-content/uploads/2025/06/O-Biometano-em-Sao-Paulo_Potencial.pdf,False,268,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_PRIMARIO|LODO_SECUNDARIO,Sustainable biogas production in municipal wastewater treatment plants,2015,,https://task37.ieabioenergy.com/,False,330;342,
,,,MISSING_DOI;NEEDS_URL,LODO_SECUNDARIO,Avaliação do processo de digestão anaeróbia da ETE Arrudas-MG,2009,,,True,344,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_SECUNDARIO,Co-digestão anaeróbia de resíduos de hortifrutigranjeiros e lodo ativado de estação de tratamento de efluentes,2019,,http://www.repositorio.jesuita.org.br/handle/UNISINOS/,False,345,
,,,MISSING_DOI;NOT_PEER_REVIEWED,LODO_SECUNDARIO,SABESP biometano principais estações esgoto,2024,,https://www.abrema.org.br/2024/04/29/sabesp-vai-gerar-biometano/,False,279,
,,,MISSING_DOI;NOT_PEER_REVIEWED,MUCILAGEM_CAFE,"Caracterização físico-química, bioquímica e energética da água residuária do café processado por via úmida",,,https://seer.ufu.br/index.php/biosciencejournal/article/download/7129/5123/31134,False,14,
,,,MISSING_DOI;NOT_PEER_REVIEWED,MUCILAGEM_CAFE,Waste-to-energy: Biogas potential from coffee processing wastewater,2023,,https://www.sciencedirect.com/science/article/abs/pii/S0360544223009982,False,297,
,,,MISSING_DOI;NOT_PEER_REVIEWED,MUCILAGEM_CAFE,Coffee Effluent Treatment and Biogas Recovery Systems,2025,,https://www.kenyacoffeeschool.com/,False,298,
,,,MISSING_DOI;NOT_PEER_REVIEWED,MUCILAGEM_CAFE,Life Cycle Assessment and Carbon Footprint of Coffee Waste Valorization in Brazil,2023,,https://papers.ssrn.com/sol3/,False,300,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Sugarcane Straw Hemicellulose Extraction by Hydrothermal Processing,2025,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11945048/,False,146,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Physicochemical and thermal characteristics of sugarcane straw and bagasse,2018,,http://mtc-m21c.sid.inpe.br/col/sid.inpe.br/mtc-m21c/2018/09.06.16.48/doc/canettiere_physicochemical.pdf,False,148,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,BioValue: Sugarcane Straw and Bagasse Assessment,2020,,https://lnbr.cnpem.br/biovalue/biomasses/sugarcane-straw-bagasse/,False,150,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Advancements of agriculture 4.0 in mechanized sugarcane harvesting: a review,2024,,https://www.scielo.br/j/cr/a/dpjnMyWPrn5nh3BX9ZKxvTC/,False,151,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Sugarcane Straw Processing and Burning,2020,,https://lnbr.cnpem.br/wp-content/uploads/2020/07/1.Straw-Processing-and-Burning.pdf,False,152,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Guidelines for Sugarcane Straw Removal in Brazil,2020,,https://lnbr.cnpem.br/wp-content/uploads/2020/07/3Guidelines-Straw-Removal.pdf,False,153,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Anaerobic hydrolysis during digestion of complex substrates,2008,,https://edepot.wur.nl/198997,False,158,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Biomass Recalcitrance and Its Impacts on Anaerobic Digestion,2019,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6694284/,False,159,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,A Detailed Database of the Chemical Properties and Methane Potential of Agricultural Residues,2023,,https://pdfs.semanticscholar.org/7db4/f1330e4ad1a5fe147448c28a98dede996d8d.pdf,False,164,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Rice straw and sugarcane bagasse degradation mimicking lignocellulose decay in nature,2012,,https://www.scienceasia.org/2012.38.n4/scias38_364.pdf,False,165,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Biochar de Palha de Cana-de-Açúcar: Caracterização e Aplicação,2018,,http://static.sites.sbq.org.br/rvq.sbq.org.br/pdf/PirsNoPrelo.pdf,False,73,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA,Potencial de Biogás e Biometano da Palha de Cana-de-açúcar,2025,,https://ojs.revistadelos.com/ojs/index.php/delos/article/download/7710/4131,False,74,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA_MILHO,Market mapping of the main raw materials for biogas production in Brazil,2025,,https://abiogas.org.br/publicacoes,False,234,
,,,MISSING_DOI;NOT_PEER_REVIEWED,PALHA_SOJA,Avaliação da palhada da soja como matéria prima para a produção de etanol combustível auxiliado por tratamentos químicos,2018,,https://www.unirv.edu.br/conteudos/fckfiles/files/AVALIAÇÃO%20DA%20PALHADA%20DA%20SOJA.pdf,False,94,
,,,MISSING_DOI;NOT_PEER_REVIEWED,POLPA_CAFE,Caracterização e pré-tratamento da polpa de café,2011,,http://www.sapc.embrapa.br/arquivos/consorcio/spcb_anais/simposio7/330.pdf,False,293,
,,,MISSING_DOI;NOT_PEER_REVIEWED,SABUGO,CARACTERIZAÇÃO DO SABUGO DE MILHO E COMPOSIÇÃO DO BIO-ÓLEO PRODUZIDO NO PROCESSO DE PIRÓLISE RÁPIDA,2019,,https://proceedings.science/enemp/enemp-2019/trabalhos/caracterizacao-do-sabugo-de-milho-e-composicao-do-bio-oleo-produzido-no-p,False,227,
,,,MISSING_DOI;NOT_PEER_REVIEWED,SANGUE,Biodigestão anaeróbia de resíduos de abatedouros,2016,,https://periodicos.uniarp.edu.br/index.php/ignis/article/download/729/513/,False,23,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,"Torta de Filtro, Resíduo da Indústria Sucroalcooleira: Caracterização Físico-Química e Potencial de Valorização",2024,,http://static.sites.sbq.org.br/rvq.sbq.org.br/pdf/BernardinoNoPrelo.pdf,False,103,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,Caracterização Química de Torta de Filtro: Bagaço e Resíduos de Processamento da Cana-de-Açúcar,2024,,https://lnbr.cnpem.br/,False,104,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,"Estudo de Produção e Uso do Biogás de Vinhaça: Usina Bonfim, Guariba-SP (Project P173)",2015,,https://www.arsesp.sp.gov.br/RegistroTecnicoProjetos/comgas/Projeto-173-COMGAS.pdf,False,190,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,Caracterização físico-química da torta de filtro para aproveitamento agrícola,2017,,http://intellectoarticles.com.br/,False,195,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,Biogás no Brasil: Potencial do Setor Sucroenergético,2018,,https://www.embrapa.br/busca-de-publicacoes,False,196,
,,,MISSING_DOI;NOT_PEER_REVIEWED,TORTA_FILTRO,Design proposal of an industrial biodigester of filter-cake for electrical energy generation,2021,,http://scielo.sld.cu/scielo.php?pid=S2218-36202021000500074&script=sci_abstract,False,198,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,Aproveitamento do Biogás a Partir da Vinhaça da Cana-de-Açúcar,2015,,https://pantheon.ufrj.br/bitstream/11422/702/3/PVCorrea.pdf,False,171,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,Avaliação da sustentabilidade de alternativas da utilização da vinhaça,2025,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1177816/1/AP-Avaliacao-sustentabilidade-2025.pdf,False,183,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,Complementaridade da matriz energética brasileira: o potencial da cana-de-açúcar e seus co-produtos,2018,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1036036/1/2015AA052.pdf,False,184,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,MODELAGEM E SIMULAÇÃO DA PRODUÇÃO DE BIOGÁS A PARTIR DA VINHAÇA,2019,,https://www.ibeas.org.br/conresol/conresol2019/V-041.pdf,False,185,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,Aproveitamento do Biogás a Partir da Vinhaça da Cana,2015,,https://pantheon.ufrj.br/bitstream/11422/702/3/PVCorrea.pdf,False,43,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VINHACA,Anaerobic Digestion of Vinasse from Sugarcane Processing,2006,,http://www.baez-chem-i-consulting.com/Download%20page%20files/MethaneProductionfromVinasse.pdf,False,96,
,,,MISSING_DOI;NOT_PEER_REVIEWED,VISCERAS,Regulation (EC) No 1069/2009 - Animal By-Products (ABP) Regulation,2020,,https://eur-lex.europa.eu/eli/reg/2009/1069/oj,False,379,
,,,MISSING_DOI,BAGACO,Investigating Kinetic Parameters in the Anaerobic Digestion of Sugarcane Bagasse,2024,,https://jchr.org/index.php/JCHR/article/view/7124,True,113,
,,,MISSING_DOI,BAGACO,Produção de Biogás a partir de Bagaço de Cana,2020,,https://repositorio.ufu.br/bitstream/123456789/27087/1/Produ%C3%A7%C3%A3o%20Biog%C3%A1s%20Baga%C3%A7o%20.pdf,True,116,
,,,MISSING_DOI,BAGACO,Caracterização do bagaço de cana-de-açúcar: Polpa e energia,2022,,https://repositorio.usp.br/directbitstream/4c091377-1a09-4123-a501-328d7754714b/,True,135,
,,,MISSING_DOI,BAGACO,Potencial Bioquímico de Metano do Bagaço de Cana-de-açúcar,2023,,https://dspace.unila.edu.br/bitstreams/19380b44-82c1-469f-9083-bf3db9abb590/download,True,39,
,,,MISSING_DOI,BAGACO,Rice straw and sugarcane bagasse as supporting co-substrates,2025,,https://www.sciencedirect.com/science/article/pii/S2590174525001813,True,42,
,,,MISSING_DOI,BAGACO,Co-digestão Anaeróbia entre Dejeto Bovino e Bagaço de Cana-de-Açúcar Pré-tratado com NaOH,2021,,https://repositorio.utfpr.edu.br/jspui/bitstream/1/31648/1/codigestaoanaerobiadejetobagaco.pdf,True,98,
,,,MISSING_DOI,BAGACO_CITROS,Biogas Production from Citrus Wastes and Chicken Feather: Pretreatment and Co-Digestion,2012,,https://www.diva-portal.org/smash/get/diva2:877013/FULLTEXT01.pdf,True,250,
,,,MISSING_DOI,BAGACO_CITROS,Effect of limonene on batch anaerobic digestion of citrus peel waste,2016,,https://www.academia.edu/77247133/Effect_of_limonene_on_batch_anaerobic_digestion_of_citrus_peel_waste,True,253,
,,,SUSPECT_DOI_REUSE,BAGACO|CASCAS_CITROS,Strategies for the sustainable management of orange peel waste through anaerobic digestion,2018,10.1007/s41207-022-00264-z,https://www.sciencedirect.com/science/article/pii/S0301479718301464,True,20;40,
,,,SUSPECT_DOI_REUSE,BAGACO|PALHA|PALHA_MILHO|TORTA_FILTRO|VINHACA,Prospecting substrates and co-substrates for year-round biogas production in Brazilian sugarcane mills: Innovative arrangements scenarios,2026,10.1016/j.biombioe.2025.108828,https://doi.org/10.1016/j.biombioe.2025.108828,True,239;240;241;242;243,
,,,SUSPECT_DOI_REUSE,BAGACO|TORTA_FILTRO,Alkaline Pretreatment of Sugarcane Bagasse and Filter Mud Codigested to Improve Biomethane Production,2016,10.1155/2016/8650597,https://onlinelibrary.wiley.com/doi/10.1155/2016/8650597,True,117;187,
,,,MISSING_DOI,CAMA_AVIARIO,Cama de Frango como Substrato para Produção de Biogás,2016,,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1078298/1/final8602.pdf,True,49,
,,,MISSING_DOI,CAMA_AVIARIO,Potencial bioquímico de biogás e metano de cama de frango,2025,,https://www.ibeas.org.br/conresol/conresol2025/XII-013.pdf,True,51,
,,,MISSING_DOI,CASCAS_CITROS,Geração de Biogás e Biometano Através da Digestão de Cascas de Citros,2024,,https://lume.ufrgs.br/bitstream/handle/10183/263811/001173867.pdf?sequence=1,True,57,
,,,MISSING_DOI,CASCAS_CITROS,Digestão Anaeróbia de Resíduos do Processamento da Laranja,2017,,https://repositorio.unesp.br/items/e2f26c71-8827-4569-a52f-357333ce0491,True,59,
,,,MISSING_DOI,CASCA_CAFE,Produção de Gás Metano a partir da Digestão Anaeróbia de Casca de Café,2023,,https://conbea.org.br/anais/publicacoes/conbea-2023/anais-2023/energia-na-agricultura-eag-6/3556,True,68;287,
,,,MISSING_DOI,CASCA_CAFE,Potencial Bioquímico de Biometano de Casca de Café Tratada Termoquimicamente,2022,,https://www.repositorio.unicamp.br/acervo/detalhe/1372487,True,69,
,,,MISSING_DOI,CASCA_CAFE,Obtenção de Biogás a partir da Casca de Café com Pré-tratamento Fotocatalítico,2022,,https://dspace.unila.edu.br/items/b562e4ec-3f12-460f-a4f5-b46d240543d5,True,70,
,,,MISSING_DOI,CASCA_CAFE,BIOGAS PRODUCTION BY ANAEROBIC DIGESTION OF COFFEE HUSKS AND CATTLE MANURE,2023,,https://www.scielo.br/j/eagri/a/HMtY4DxjrLXKWsSV5tLczms/,True,282,
,,,MISSING_DOI,CASCA_CAFE,Waste-to-energy: Biogas potential of waste from coffee production and consumption,2023,,https://www.sciencedirect.com/science/article/abs/pii/S0360544223009982,True,288,
,,,MISSING_DOI,CASCA_CAFE,Biogas potential assessment from coffee husk in Ethiopia,2016,,https://www.iitf.lbtu.lv/conference/proceedings2016/Papers/N270.pdf,True,289,
,,,MISSING_DOI,CASCA_EUCALIPTO,Digestores anaeróbios com lodo digerido e biomassa florestal,2011,,https://repositorio.ufjf.br/,True,82,
,,,SUSPECT_DOI_REUSE,CASCA_MILHO|PALHA_MILHO,Chemical composition of maize stover fraction versus methane yield and energy value in fermentation process,2020,10.3390/en13071634,https://doi.org/10.3390/en13071634,True,233;236,
,,,SUSPECT_DOI_REUSE,CASCA_MILHO|SABUGO,Potential biogas and methane yield of maize stover fractions and evaluation of some possible stover harvest chains,2016,10.1016/j.biosystemseng.2015.10.004,https://doi.org/10.1016/j.biosystemseng.2015.10.004,True,223;235,
,,,SUSPECT_DOI_REUSE,CASCA_MILHO|SABUGO,Compositional changes in corn cob and sheath across different maturity stages and their implications for bioenergy applications,2024,10.5281/zenodo.8635164,https://www.agronomyjournals.com/archives/2024/vol8issue7/PartA/8-6-164-335.pdf,True,228;237,
,,,MISSING_DOI,DEJETOS_BOVINO,Avaliação do pré-tratamento termoquímico de cama de aviário para produção de biogás,2015,,https://www.udesc.br/arquivos/cav/id_cpmenu/2789/DISSERTA__O_RAFAEL_FAVRETTO.pdf,True,34,
,,,MISSING_DOI,DEJETOS_SUINO,Estudo dos efeitos da temperatura e taxa de diluição na digestão anaeróbia de dejetos de suínos,2019,,https://rd.uffs.edu.br/bitstream/prefix/3111/1/HOFFMANN.pdf,True,37,
,,,MISSING_DOI,DEJETOS_SUINO,Obtenção de biogás em reator em batelada a partir da co-digestão de bagaço de cana-de-açúcar e dejetos de suinocultura,2024,,https://repositorio.usp.br/directbitstream/88fa42f2-5937-4b78-a1b5-3bb082ddc908/4136-10870-1-PB.pdf,True,254,
,,,SUSPECT_DOI_REUSE,DEJETOS_SUINO|FORSU|SORO_QUEIJO,Caracterização Físico-Química de Efluentes Líquidos de Suinocultura,2007,10.1590/1809-4430-Eng.Agric.v43n1p1-12/2023,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/868199/1/sp17245.pdf,True,52;55;60,
,,,SUSPECT_DOI_REUSE,DEJETOS_SUINO|SORO_QUEIJO,Co-digestão anaeróbia de dejetos suínos e bagaço de malte,2024,10.1016/j.biortech.2018.04.099,https://www.ibeas.org.br/conresol/conresol2024/IV-005.pdf,True,53;56,
,,,MISSING_DOI,ESTERCO_BOVINO_FRESCO,Potencial Técnico do Metano da Pecuária Bovina,2020,,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/nota-tecnica-pecuaria-bovina,True,108,
,,,MISSING_DOI,ESTERCO_BOVINO_FRESCO,Determinação do potencial bioquímico de metano de esterco bovino em sistemas brasileiros,2024,,https://www.ibeas.org.br/conresol/conresol2024/IV-005.pdf,True,109,
,,,MISSING_DOI,ESTERCO_BOVINO_FRESCO,Biogas production from different types of cow manure,2018,,https://www.sciencedirect.com/science/article/pii/S0960148124019335,True,110,
,,,MISSING_DOI,ESTERCO_BOVINO_FRESCO,Produtividade do quiabeiro adubado com esterco bovino,2014,,https://www.scielo.br/j/rbeaa/a/QDDYSLKfZjBQpXsB88BRFjK/?lang=pt,True,111,
,,,MISSING_DOI,FORSU,Co-digestão Anaeróbia de Resíduos Vegetais e Águas Residuárias,2013,,https://biblioteca.unesp.br/exlibris/bd/cathedra/20-08-2015/000845451.pdf,True,61,
,,,SUSPECT_DOI_REUSE,GORDURA|LEVEDURA,"Digestão Anaeróbia – Co-digestão de óleos, gorduras e lactosoro",2014,10.1590/S0103-84782004000600033,https://sigarra.up.pt/faup/en/pub_geral.show_file?pi_doc_id=275377,True,76;81,
,,,SUSPECT_DOI_REUSE,GORDURA|SANGUE,AD of slaughterhouse by-products (blood),2009,10.1016/j.biombioe.2009.03.004,https://orbit.dtu.dk/en/publications/anaerobic-digestion-of-slaughterhouse-by-products,True,366;369,
,,,MISSING_DOI,LEVEDURA,Potencial de produção de biogás da levedura residual do processo cervejeiro,2020,,https://repositorio.usp.br/,True,80,
,,,MISSING_DOI,LODO_PRIMARIO,Avaliação de Lodo Anaeróbio e Dejeto Bovino como Inóculo,2011,,https://repositorio.ufmg.br/server/api/core/bitstreams/5959e9b0-8604-4c5f-a2a5-53bbb4bec4d6/content,True,62,
,,,MISSING_DOI,LODO_PRIMARIO,Determinação do Potencial Bioquímico de Metano de Lodo,2024,,https://www.ibeas.org.br/conresol/conresol2024/IV-005.pdf,True,63,
,,,MISSING_DOI,LODO_PRIMARIO,Synergistic effect from anaerobic co-digestion of sewage sludge,2023,,https://www.academia.edu/129030490/,True,261,
,,,MISSING_DOI,LODO_PRIMARIO,Produção de biogás: manipueira + lodo primário,2015,,https://repositorio.ufpe.br/handle/123456789/14974,True,264,
,,,MISSING_DOI,LODO_PRIMARIO,Feasibility of co-digestion PS and WAS mixtures,2025,,https://pubmed.ncbi.nlm.nih.gov/40952402/,True,265,
,,,SUSPECT_DOI_REUSE,LODO_PRIMARIO|LODO_SECUNDARIO,Biochemical Methane Potential (BMP) Assay Method for Anaerobic Digestion Research,2019,10.3390/w11050921,https://doi.org/10.3390/w11050921,True,319;338,
,,,MISSING_DOI,LODO_SECUNDARIO,Aplicação digestão anaeróbia redução volume lodo,2015,,https://repositorio.ufsc.br/bitstream/handle/123456789/124550/272.pdf,True,278,
,,,MISSING_DOI,LODO_SECUNDARIO,Mesophilic AD of WAS: Influence of feed and operating conditions,2005,,https://www.dbt.univr.it/documenti/ArticoloRivista/allegato/allegato998719.pdf,True,280,
,,,MISSING_DOI,MUCILAGEM_CAFE,Valorização dos resíduos de café para obtenção do biogás,2021,,https://repositorio.unifal-mg.edu.br/items/c5677cc0-1edd-4e6e-90bd-d0cc1679b39e,True,285,
,,,MISSING_DOI,MUCILAGEM_CAFE,Anaerobic digestion of wastewater from coffee processing,2017,,https://seer.ufu.br/index.php/biosciencejournal/article/download/13973/12498/0,True,286,
,,,MISSING_DOI,MUCILAGEM_CAFE,Anaerobic Co-Digestion of Coffee By-Products for Circular Bioeconomy,2024,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5071764,True,296,
,,,MISSING_DOI,MUCILAGEM_CAFE,Anaerobic co-digestion of coffee wastewater with dairy whey,2021,,https://link.springer.com/journal/12155,True,299,
