feedstock_code,citation_full,doi_link,bmp_value,bmp_unit,substrate_condition,pretreatment_type,test_type,inoculum_source,temperature_c,duration_days,n_replicates,is_primary,notes
DEJETO_BOVINO,Xavier et al. (Embrapa Pecuária Sudeste),Embrapa 2010,140.0,NmL_CH4_gVS,raw,Dejeto bovino de corte in natura com cama de palha,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Bioresource Tech. Cattle Kinetics,10.1016/j.biortech.2012,185.0,NmL_CH4_gVS,unknown,Ensaio lote mesofílico 37°C com dejeto de leite,batch_BMP,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Applied Energy Co-digestion Bovine,10.1016/j.apenergy.2015,240.0,NmL_CH4_gVS,unknown,Codigestão de dejeto bovino com silagem de milho,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Santos et al. (Embrapa Pecuária Sudeste),Embrapa 2019,220.0,NmL_CH4_gVS,unknown,Âncora Canônica Principal: Caracterização de dejetos de leite Free-Stall,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Renewable Energy Thermophilic Cattle,10.1016/j.renene.2020,265.0,NmL_CH4_gVS,unknown,Digestão anaeróbia termofílica 55°C em CSTR,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Bioresource Tech. Enzymatic Pretreatment,10.1016/j.biortech.2022,310.0,NmL_CH4_gVS,unknown,Separação de fase líquida + tratamento enzimático,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
DEJETO_BOVINO,Energy for Sustainable Dev. Feedlot,10.1016/j.esd.2024,235.0,NmL_CH4_gVS,unknown,Biogás em confinamentos comerciais no Centro-Sul,unknown,,,,,True,Extraído de cattle_manure_visual_exploration_tabela_referencias.csv
BAGACO_CITROS,Bioresource Tech. Citrus Biomethanization,10.1016/j.biortech.2010,180.0,NmL_CH4_gVS,raw,Casca de laranja in natura com limoneno,unknown,,,,,True,Extraído de citrus_coffee_visual_exploration_tabela_referencias.csv
BAGACO_CITROS,Waste Management Limonene Inhibition,10.1016/j.wasman.2014,340.0,NmL_CH4_gVS,pretreated,Âncora Canônica Citros: Após desabsorção de limoneno,unknown,,,,,True,Extraído de citrus_coffee_visual_exploration_tabela_referencias.csv
BAGACO_CITROS,Bioresource Tech. Coffee Co-digestion,10.1016/j.biortech.2017,250.0,NmL_CH4_gVS,unknown,Âncora Canônica Café: Mucilagem e casca de café,unknown,,,,,True,Extraído de citrus_coffee_visual_exploration_tabela_referencias.csv
BAGACO_CITROS,CONBEA Digestão Anaeróbia Café,CONBEA 2023,270.0,NmL_CH4_gVS,unknown,Digestão anaeróbia da mucilagem de café em SP,unknown,,,,,True,Extraído de citrus_coffee_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,Bioresource Tech. Poultry Inhibition,10.1016/j.biortech.2012,180.0,NmL_CH4_gVS,unknown,Ensaio lote mesofílico com inibição amoniacal,batch_BMP,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,Eng. Agrícola SBEA Peneirada,10.1590/1809-4430,310.0,NmL_CH4_gVS,pretreated,Digestão de cama de frango peneirada (fração fina),unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,Embrapa Suínos e Aves Relatório,Embrapa 2016,260.0,NmL_CH4_gVS,unknown,Âncora Canônica Principal: Guia avícola de biogás,unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,Waste Management Co-digestion Poultry,10.1016/j.wasman.2016,275.0,NmL_CH4_gVS,unknown,Codigestão de cama de frango com resíduos agrícolas,unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,RSER Comprehensive Review,10.1016/j.rser.2022,380.0,NmL_CH4_gVS,pretreated,Revisão de pré-tratamentos e desstripping de amônia,unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,Ciência Agronômica Poedeiras,10.1590/1809-6891,245.0,NmL_CH4_gVS,unknown,Dejeto de poedeiras com minerais na dieta,unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
CAMA_AVIARIO,IBEAS Conresol Avicultura,IBEAS 2025,290.0,NmL_CH4_gVS,unknown,Potencial bioquímico de metano de avicultura industrial,unknown,,,,,True,Extraído de poultry_litter_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,Water Research Primary Sludge,10.1016/j.watres.2012,325.0,NmL_CH4_gVS,unknown,Lodo primário de decantação direta,unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,Bioresource Tech Secondary Sludge,10.1016/j.biortech.2015,210.0,NmL_CH4_gVS,pretreated,Lodo secundário ativado sem pré-tratamento,unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,SABESP Guia Técnico de Lodos,SABESP 2018,280.0,NmL_CH4_gVS,unknown,Âncora Canônica SABESP: Lodo misto (60:40),unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,Heerenklage et al. Waste Management,10.1016/j.wasman.2019,295.0,NmL_CH4_gVS,unknown,Eficiência de digestão em escala plena ETE,unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,Ultrasonic Pretreatment Sludge,10.1016/j.biortech.2022,360.0,NmL_CH4_gVS,unknown,Lodo secundário com desintegração ultrassônica,unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
LODO_ESGOTO,Journal of Cleaner Prod. SABESP ETE,10.1016/j.jclepro.2024,310.0,NmL_CH4_gVS,unknown,Biometano em ETEs Barueri e ABC em São Paulo,unknown,,,,,True,Extraído de sewage_sludge_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Oliveira et al. (Embrapa Suínos),Embrapa 2008,210.0,NmL_CH4_gVS,unknown,Biodigestor tubular contínuo de lagoa coberta,continuous,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Water Research Slurry Kinetics,10.1016/j.watres.2011,280.0,NmL_CH4_gVS,unknown,Cinética de biodigestão anaeróbia mesofílica 37°C,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Bioresource Tech. Co-digestion,10.1016/j.biortech.2013,345.0,NmL_CH4_gVS,unknown,Codigestão de dejeto suíno + resíduos alimentares,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Kunz et al. (Embrapa Suínos e Aves),Embrapa 2018,320.0,NmL_CH4_gVS,unknown,Âncora Canônica Principal: Guia técnico de biogás na suinocultura,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Waste Management CSTR Study,10.1016/j.wasman.2019,310.0,NmL_CH4_gVS,unknown,CSTR em escala piloto com agitação mecânica,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Applied Energy Solid Separation,10.1016/j.apenergy.2020,390.0,NmL_CH4_gVS,unknown,Separação de fração sólida via peneira rotativa,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Bioresource Tech. Thermophilic AD,10.1016/j.biortech.2021,450.0,NmL_CH4_gVS,unknown,Digestão anaeróbia termofílica 55°C com separação,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Journal of Cleaner Prod. Swine Biogas,10.1016/j.jclepro.2023,335.0,NmL_CH4_gVS,unknown,Avaliação do ciclo de vida do biogás suíno no Sul/SE,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
DEJETO_SUINO,Process Safety Environ. Protection,10.1016/j.psep.2025,360.0,NmL_CH4_gVS,unknown,Otimização de biodigestores com biochar de palha,unknown,,,,,True,Extraído de swine_manure_visual_exploration_tabela_referencias.csv
VINHACA,Anaerobic Digestion of Vinasse from Sugarcane Processing,Baez Consulting,140.0,NmL_CH4_gVS,unknown,Digestão anaeróbia clássica em batelada,batch_BMP,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Modelling of an EGSB treating sugarcane vinasse using first-order kinetics,10.2166/wst.2011.768,150.0,NmL_CH4_gVS,unknown,Reator EGSB de leito expandido,continuous,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Bonomi et al. CTBE / LNBR,LNBR 2015,130.0,NmL_CH4_gVS,raw,Vinhaça bruta in natura de destilaria,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,"Moraes, Zaiat & Bonomi (Biomass & Bioenergy)",10.1016/j.biombioe.2015,160.0,NmL_CH4_gVS,unknown,Âncora Canônica NIPE UNICAMP: Mono-digestão de vinhaça,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Aproveitamento do Biogás a Partir da Vinhaça da Cana (UFRJ),UFRJ 2015,155.0,NmL_CH4_gVS,unknown,Estudo de recuperação energética UFRJ,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Biogas Production from Sugarcane Waste: Kinetic Challenges,10.3390/ijms16092385,165.0,NmL_CH4_gVS,unknown,Avaliação de desafios cinéticos de reatores,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Ferreira et al. (Renewable Energy),10.1016/j.renene.2016,165.0,NmL_CH4_gVS,unknown,Reator UASB de alta taxa com recírculo,continuous,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Kinetics of thermophilic acidogenesis of sugarcane vinasse,10.1016/j.energy.2016.11.093,175.0,NmL_CH4_gVS,unknown,Acidogênese termofílica e produção de biogás,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Feasibility of biohydrogen production: Vinasse & molasses,10.1590/0104-6632,170.0,NmL_CH4_gVS,unknown,Reator AnSBBR em batelada sequencial,batch_BMP,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Anaerobic biodigestion under mesophilic and thermophilic conditions,10.4136/ambi-agua.1898,180.0,NmL_CH4_gVS,unknown,Comparativo mesofílico vs termofílico,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Bioconversion of Sugarcane Vinasse into Energy,10.1155/2017/8986165,160.0,NmL_CH4_gVS,unknown,Estratégias de bioconversão anaeróbia,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Evaluation of Production of Methane from Vinasse,AJER 2018,150.0,NmL_CH4_gVS,unknown,Digestão anaeróbia de vinhaça em destilaria,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Complementaridade da matriz energética brasileira: cana,Embrapa 2018,160.0,NmL_CH4_gVS,unknown,Estudo Embrapa de integração energética,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,"Co-digestão anaeróbia de vinhaça, melaço e torta de filtro",FATEC 2019,185.0,NmL_CH4_gVS,unknown,Codigestão multissubstrato usinas SP,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Modelagem e Simulação da Produção de Biogás da Vinhaça,IBEAS 2019,165.0,NmL_CH4_gVS,unknown,Simulação computacional de reatores CSTR,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Bioresource Tech Thermophilic Vinasse,10.1016/j.biortech.2020,200.0,NmL_CH4_gVS,unknown,Reator CSTR termofílico a 55°C,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Produção de Biogás a Partir da Vinhaça,10.3390/su14127016,175.0,NmL_CH4_gVS,unknown,Digestão anaeróbia em escala de bancada UFPB,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Co-digestion of vinasse with cattle manure and glycerin,Bioenergia Rev.,190.0,NmL_CH4_gVS,unknown,Codigestão tripla para aumentar rendimento,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Technological strategies for managing sugarcane vinasse,10.1016/j.renene.2023,180.0,NmL_CH4_gVS,unknown,Revisão de estratégias industriais em SP,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Moura UFRJ (Dissertação de Mestrado),UFRJ 2023,165.5,NmL_CH4_gVS,unknown,BMP de vinhaça concentrada e lodo de ETE,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Kinetic Model of Biogas Yield from Vinasse (Modified Gompertz),RJASET 2023,170.0,NmL_CH4_gVS,unknown,Ajuste cinético de Gompertz modificado,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Effect of Fe Addition on Anaerobic Digestion of Vinasse,10.3311/PPch.20611,185.0,NmL_CH4_gVS,unknown,Suplementação de micronutrientes Fe/Ni/Co,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Obtenção de biohidrogênio usando subprodutos da cana,UNICAMP 2024,175.0,NmL_CH4_gVS,unknown,Estudo de dois estágios H₂/CH₄ UNICAMP,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
VINHACA,Avaliação da sustentabilidade da vinhaça (Embrapa),Embrapa 2025,160.0,NmL_CH4_gVS,unknown,Avaliação de ciclo de vida e fertirrigação CETESB,unknown,,,,,True,Extraído de vinasse_visual_exploration_tabela_referencias.csv
